"","Short","Language","Encoding","Used."
"1","zh-TW","Taiwanese Mandarin","BIGFIVE",""
"2","zh","Chinese","ISO-2022-CN-EXT","x"
"3","ja","Japanese","ISO-2022-JP-3","x"
"4","ko","Korean","ISO-2022-KR","x"
"5","mk","Macedonian","iso-8859-5","x"
"6","th","Thai","ISO885911","x"
"7","gd","Gaelic","ISO885914",""
"8","pl","Polish","ISO88592","x"
"9","ro","Romanian","ISO88592","x"
"10","eo","Esperanto","ISO88593","x"
"11","tr","Turkish","ISO88593","x"
"12","mt","Maltese","ISO88593",""
"13","lt","Lithuanian","ISO88594","x"
"14","lv","Latvian","ISO88594","x"
"15","uk","Ukrainian","ISO88595","x"
"16","ar","Arabic","ISO88596","x"
"17","el","Greek","ISO88597",""
"18","iw","Hebrew","ISO88598","x"
"19","bs","Bosnian","ISO_8859-2","x"
"20","cs","Czech","ISO_8859-2","x"
"21","hr","Croatian","ISO_8859-2","x"
"22","hu","Hungarian","ISO_8859-2","x"
"23","sk","Slovak","ISO_8859-2","x"
"24","sl","Slovenian","ISO_8859-2","x"
"25","be","Belarusian","ISO_8859-5","x"
"26","bg","Bulgarian","ISO_8859-5","x"
"27","ru","Russian","ISO_8859-5","x"
"28","sr","Serbian","ISO_8859-5","x"
"29","af","Afrikaans","latin-9","x"
"30","ca","Catalan","latin-9","x"
"31","da","Danish","latin-9","x"
"32","de","German","latin-9","x"
"33","en","English","latin-9","x"
"34","es","Spanish","latin-9","x"
"35","et","Estonian","latin-9","x"
"36","fi","Finnish","latin-9","x"
"37","fr","French","latin-9","x"
"38","ga","Irish","latin-9","x"
"39","gl","Galician","latin-9","x"
"40","id","Indonesian","latin-9","x"
"41","is","Icelandic","latin-9","x"
"42","it","Italian","latin-9","x"
"43","la","Latin","latin-9","x"
"44","ms","Malay","latin-9","x"
"45","nl","Dutch","latin-9","x"
"46","no","Norwegian","latin-9","x"
"47","pt","Portuguese","latin-9","x"
"48","sv","Swedish","latin-9","x"
"49","ku","Kurdish","latin-9",""
"50","lb","Luxembourgish","latin-9",""
"51","sq","Albanian","latin-9",""
"52","sw","Swahili","latin-9",""
"53","tl","Tagalog","latin-9",""
